Origin_Airport,Origin_City,Origin_State,Origin_Country,Destination_Airport,Destination_City,Destination_State,Destination_Country,Airline Name,delay
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Raleigh-Durham International,Raleigh,NC,USA,JetBlue Airways,54
George Bush Intercontinental,Houston,TX,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,Delta Air Lines Inc.,54
Great Falls Intl,Great Falls,MT,USA,Helena Regional,Helena,MT,USA,Delta Air Lines Inc.,54
Harrisburg Intl,Harrisburg,PA,USA,Washington Dulles International,Chantilly,VA,USA,Trans World Airways LLC,54
James M Cox Dayton Intl,Dayton,OH,USA,Minneapolis-St Paul Intl,Minneapolis,MN,USA,Northwest Airlines Inc.,54
Los Angeles International,Los Angeles,CA,USA,Honolulu International,Honolulu,HI,USA,Trans World Airways LLC,54
Manchester,Manchester,NH,USA,Phoenix Sky Harbor International,Phoenix,AZ,USA,Southwest Airlines Co.,54
McCarran International,Las Vegas,NV,USA,Denver Intl,Denver,CO,USA,Mesa Airlines Inc.,54
Metropolitan Oakland International,Oakland,CA,USA,Ontario International,Ontario,CA,USA,JetBlue Airways,54
Panama City-Bay County International,Panama City,FL,USA,Eglin Air Force Base,Valparaiso,FL,USA,Atlantic Southeast Airlines,54
Pensacola Regional,Pensacola,FL,USA,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Atlantic Southeast Airlines,54
Phoenix Sky Harbor International,Phoenix,AZ,USA,Glacier Park Intl,Kalispell,MT,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),54
Roanoke Regional/ Woodrum,Roanoke,VA,USA,Pittsburgh International,Pittsburgh,PA,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),54
Southwest Florida International,Ft. Myers,FL,USA,LaGuardia,New York,NY,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),54
Tampa International,Tampa,FL,USA,Palm Beach International,West Palm Beach,FL,USA,Delta Air Lines Inc.,54
Tampa International,Tampa,FL,USA,Port Columbus Intl,Columbus,OH,USA,Delta Air Lines Inc.,54
Tampa International,Tampa,FL,USA,Westchester Cty,White Plains,NY,USA,JetBlue Airways,54
Tri-Cities,Pasco,WA,USA,City of Colorado Springs Muni,Colorado Springs,CO,USA,Skywest Airlines Inc.,54
Washington Dulles International,Chantilly,VA,USA,LaGuardia,New York,NY,USA,US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.),54
William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,Adams,Little Rock,AR,USA,Pinnacle Airlines Inc.,54
Chicago O'Hare International,Chicago,IL,USA,Syracuse-Hancock Intl,Syracuse,NY,USA,American Airlines Inc.,52
Cincinnati Northern Kentucky Intl,Covington,KY,USA,Nashville International,Nashville,TN,USA,Atlantic Southeast Airlines,52
Durango-La Plata County,Durango,CO,USA,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,American Eagle Airlines Inc.,52
Eglin Air Force Base,Valparaiso,FL,USA,LaGuardia,New York,NY,USA,Comair Inc.,52
Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,Bradley International,Windsor Locks,CT,USA,Comair Inc.,52
Greater Peoria Regional,Peoria,IL,USA,Lambert-St Louis International,St Louis,MO,USA,Trans World Airways LLC,52
John F Kennedy Intl,New York,NY,USA,Cyril E. King,Charlotte Amalie,VI,USA,Delta Air Lines Inc.,52
John F Kennedy Intl,New York,NY,USA,Savannah International,Savannah,GA,USA,Comair Inc.,52
